"Id","Date","After","Before","Ancient","Modern","Material","Object Type","Inscription Type","Execution Type","Language","Museum","Status","Trismegistos","EDR","PHI","EDCS"
"ISic002777","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645174","","334225",""
"ISic002778","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra del Monte Giardina)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645175","","334227",""
"ISic002779","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645176","","334232",""
"ISic002780","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Serra)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645177","","334236",""
"ISic002781","3rd century BCE","-0300","-0200","Lipara","Lipari","volcanic (pietra di Serra)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645178","","334240",""
"ISic002782","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645179","","334241",""
"ISic002783","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645180","","334243",""
"ISic002784","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (local: riolite grigia)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645181","","334247",""
"ISic002785","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645182","","334254",""
"ISic002786","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645183","","334258",""
"ISic002787","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645184","","333204 334271",""
"ISic002788","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645185","","334272",""
"ISic002789","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645186","","334286",""
"ISic002790","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645187","","334287",""
"ISic002791","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645188","","334291",""
"ISic002792","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645189","","334296",""
"ISic002793","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645190","","334298",""
"ISic002794","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645191","","334302",""
"ISic002795","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645192","","334307",""
"ISic002796","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645193","","334317",""
"ISic002797","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Serra)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645194","","334318",""
"ISic002798","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Serra)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645195","","334320",""
"ISic002799","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (local stone, from Monte Rosa)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645196","","334326",""
"ISic002800","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645197","","334327",""
"ISic002801","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645198","","334341",""
"ISic002802","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645199","","334337",""
"ISic002803","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Pulera)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645200","","334342",""
"ISic002804","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Serra)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645201","","334344",""
"ISic002805","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645202","","334347",""
"ISic002806","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Fuardo)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645203","","334356",""
"ISic002807","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","
                                        volcanic (local, from M. Giardina)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645204","","334359",""
"ISic002808","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","
                                        volcanic (local stone)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645205","","334360",""
"ISic002809","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","
                                        volcanic (local stone, from Monte Rosa)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645206","","334371",""
